category,method,route,purpose,request_schema,response_schema,authentication,frontend_caller,backend_handler,database_effect,filesystem_effect,ai_provider_use,status,evidence
legacy/unused,POST,/debug/transcribe,Debug transcribe,file: UploadFile; provider: Optional[str]; terms: Optional[str],handler-defined,None implemented,No direct static match found,debug_transcribe,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,CONFIGURATION_DEPENDENT,backend/app/api/routes/debug.py:24 debug_transcribe
legacy/unused,POST,/debug/extract-audio,Debug extract audio,file: UploadFile,handler-defined,None implemented,No direct static match found,debug_extract_audio,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,CONFIGURATION_DEPENDENT,backend/app/api/routes/debug.py:149 debug_extract_audio
legacy/unused,GET,/debug/config,Debug config,None/path-query only,handler-defined,None implemented,No direct static match found,debug_config,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,CONFIGURATION_DEPENDENT,backend/app/api/routes/debug.py:213 debug_config
legacy/unused,GET,/debug/rag/stats,Debug rag stats,None/path-query only,handler-defined,None implemented,No direct static match found,debug_rag_stats,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,CONFIGURATION_DEPENDENT,backend/app/api/routes/debug.py:253 debug_rag_stats
legacy/unused,POST,/debug/rag/search,Debug rag search,query: str; top_k: int; source_type: Optional[str]; score_threshold: float,handler-defined,None implemented,No direct static match found,debug_rag_search,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,CONFIGURATION_DEPENDENT,backend/app/api/routes/debug.py:263 debug_rag_search
legacy/unused,POST,/debug/rag/extract-text,Debug extract text,file: UploadFile,handler-defined,None implemented,No direct static match found,debug_extract_text,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,CONFIGURATION_DEPENDENT,backend/app/api/routes/debug.py:299 debug_extract_text
legacy/unused,POST,/debug/rag/reset,Debug rag reset,None/path-query only,handler-defined,None implemented,No direct static match found,debug_rag_reset,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,CONFIGURATION_DEPENDENT,backend/app/api/routes/debug.py:368 debug_rag_reset
legacy/unused,POST,/debug/agents/run/{agent_name},Debug run agent,agent_name: str; video_id: str,handler-defined,None implemented,No direct static match found,debug_run_agent,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,CONFIGURATION_DEPENDENT,backend/app/api/routes/debug.py:382 debug_run_agent
legacy/unused,GET,/debug/agents/segments/{video_id},Debug view segments,video_id: str; limit: int,handler-defined,None implemented,No direct static match found,debug_view_segments,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,CONFIGURATION_DEPENDENT,backend/app/api/routes/debug.py:447 debug_view_segments
legacy/unused,GET,/debug/agents/scenes/{video_id},Debug view scenes,video_id: str,handler-defined,None implemented,No direct static match found,debug_view_scenes,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,CONFIGURATION_DEPENDENT,backend/app/api/routes/debug.py:498 debug_view_scenes
legacy/unused,POST,/debug/render/force-approve/{video_id},Debug force approve,video_id: str,handler-defined,None implemented,No direct static match found,debug_force_approve,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,CONFIGURATION_DEPENDENT,backend/app/api/routes/debug.py:536 debug_force_approve
legacy/unused,POST,/debug/render/run/{video_id},Debug render,video_id: str,handler-defined,None implemented,No direct static match found,debug_render,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,CONFIGURATION_DEPENDENT,backend/app/api/routes/debug.py:561 debug_render
legacy/unused,GET,/debug/render/exports/{video_id},Debug view exports,video_id: str,handler-defined,None implemented,No direct static match found,debug_view_exports,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,CONFIGURATION_DEPENDENT,backend/app/api/routes/debug.py:592 debug_view_exports
