ecosystem,group,name,version,source
npm,dependencies,@revideo/2d,^0.10.4,desktop/package.json
npm,dependencies,@revideo/core,^0.10.4,desktop/package.json
npm,dependencies,@revideo/player-react,^0.10.4,desktop/package.json
npm,dependencies,@revideo/renderer,^0.10.4,desktop/package.json
npm,dependencies,@revideo/ui,^0.10.4,desktop/package.json
npm,dependencies,@revideo/vite-plugin,^0.10.4,desktop/package.json
npm,dependencies,@tauri-apps/api,2.11.0,desktop/package.json
npm,dependencies,@tauri-apps/plugin-dialog,2.7.1,desktop/package.json
npm,dependencies,clsx,^2.1.1,desktop/package.json
npm,dependencies,lucide-react,^0.469.0,desktop/package.json
npm,dependencies,react,^19.0.0,desktop/package.json
npm,dependencies,react-dom,^19.0.0,desktop/package.json
npm,dependencies,react-player,^2.16.0,desktop/package.json
npm,dependencies,recharts,^2.15.0,desktop/package.json
npm,dependencies,wavesurfer.js,^7.9.0,desktop/package.json
npm,devDependencies,@tauri-apps/cli,2.11.2,desktop/package.json
npm,devDependencies,@types/react,^19.0.0,desktop/package.json
npm,devDependencies,@types/react-dom,^19.0.0,desktop/package.json
npm,devDependencies,@vitejs/plugin-react,^4.3.0,desktop/package.json
npm,devDependencies,autoprefixer,^10.4.20,desktop/package.json
npm,devDependencies,postcss,^8.4.49,desktop/package.json
npm,devDependencies,tailwindcss,^3.4.17,desktop/package.json
npm,devDependencies,typescript,^5.7.0,desktop/package.json
npm,devDependencies,vite,^6.0.0,desktop/package.json
pip,runtime,fastapi,==0.115.6,backend/requirements.txt
pip,runtime,uvicorn,[standard]==0.34.0,backend/requirements.txt
pip,runtime,python-multipart,==0.0.18,backend/requirements.txt
pip,runtime,pydantic,==2.10.4,backend/requirements.txt
pip,runtime,pydantic-settings,==2.7.1,backend/requirements.txt
pip,runtime,sqlalchemy,==2.0.36,backend/requirements.txt
pip,runtime,asyncpg,==0.30.0,backend/requirements.txt
pip,runtime,alembic,==1.14.1,backend/requirements.txt
pip,runtime,redis,==5.2.1,backend/requirements.txt
pip,runtime,celery,==5.4.0,backend/requirements.txt
pip,runtime,openai,==1.59.4,backend/requirements.txt
pip,runtime,httpx,==0.28.1,backend/requirements.txt
pip,runtime,mistralai,>=1.6.0,backend/requirements.txt
pip,runtime,langgraph,==0.2.60,backend/requirements.txt
pip,runtime,langchain-core,==0.3.29,backend/requirements.txt
pip,runtime,langchain-openai,==0.3.0,backend/requirements.txt
pip,runtime,ffmpeg-python,==0.2.0,backend/requirements.txt
pip,runtime,pydub,==0.25.1,backend/requirements.txt
pip,runtime,scenedetect,[opencv]==0.6.7.1,backend/requirements.txt
pip,runtime,pymupdf,==1.25.3,backend/requirements.txt
pip,runtime,python-pptx,==1.0.2,backend/requirements.txt
pip,runtime,python-docx,==1.1.2,backend/requirements.txt
pip,runtime,qdrant-client,==1.12.1,backend/requirements.txt
pip,runtime,python-dotenv,==1.0.1,backend/requirements.txt
pip,runtime,aiofiles,==24.1.0,backend/requirements.txt
pip,runtime,uuid6,==2024.7.10,backend/requirements.txt
pip,runtime,orjson,==3.10.13,backend/requirements.txt
pip,runtime,cryptography,>=42.0.0,backend/requirements.txt
pip,runtime,mcp,>=1.0.0,backend/requirements.txt
cargo,build-dependencies,tauri-build,"{ version = ""2"", features = [] }",desktop/src-tauri/Cargo.toml
cargo,dependencies,tauri,"{ version = ""2"", features = [] }",desktop/src-tauri/Cargo.toml
cargo,dependencies,tauri-plugin-dialog,"""2""",desktop/src-tauri/Cargo.toml
cargo,dependencies,serde,"{ version = ""1"", features = [""derive""] }",desktop/src-tauri/Cargo.toml
cargo,dependencies,serde_json,"""1""",desktop/src-tauri/Cargo.toml
cargo,dependencies,dirs,"""6""",desktop/src-tauri/Cargo.toml
cargo,dependencies,reqwest,"{ version = ""0.12"", default-features = false, features = [""blocking"", ""json"", ""rustls-tls""] }",desktop/src-tauri/Cargo.toml
