name,path,line
isNativeDesktop,desktop/src/lib/api.ts,246
getAppStorageLayout,desktop/src/lib/api.ts,256
bootstrapDesktopBackend,desktop/src/lib/api.ts,261
pickNativePrimaryVideoPath,desktop/src/lib/api.ts,266
listenToNativeImportProgress,desktop/src/lib/api.ts,281
startNativePrimaryImport,desktop/src/lib/api.ts,290
cancelNativeImport,desktop/src/lib/api.ts,302
createProject,desktop/src/lib/api.ts,307
listProjects,desktop/src/lib/api.ts,314
getProject,desktop/src/lib/api.ts,318
updateProject,desktop/src/lib/api.ts,322
deleteProject,desktop/src/lib/api.ts,329
listProjectAssets,desktop/src/lib/api.ts,333
getProjectSourceSyncPlan,desktop/src/lib/api.ts,337
applyProjectSourceSyncMetadata,desktop/src/lib/api.ts,341
updateProjectAssetSyncOffset,desktop/src/lib/api.ts,348
updateProjectAssetMetadata,desktop/src/lib/api.ts,359
uploadProjectAsset,desktop/src/lib/api.ts,370
uploadProjectPrimaryVideo,desktop/src/lib/api.ts,394
deleteProjectAsset,desktop/src/lib/api.ts,539
uploadVideo,desktop/src/lib/api.ts,551
startVideoProcessing,desktop/src/lib/api.ts,564
listVideos,desktop/src/lib/api.ts,568
getVideo,desktop/src/lib/api.ts,572
getProcessingStatus,desktop/src/lib/api.ts,576
getTranscriptTimeline,desktop/src/lib/api.ts,580
getTranscriptCutDecisions,desktop/src/lib/api.ts,584
createTranscriptCutDecision,desktop/src/lib/api.ts,588
deleteTranscriptCutDecision,desktop/src/lib/api.ts,598
updateTranscriptCutTrim,desktop/src/lib/api.ts,604
restoreTranscriptCutWord,desktop/src/lib/api.ts,615
getEditDecisionSync,desktop/src/lib/api.ts,626
analyzeCleanSuggestions,desktop/src/lib/api.ts,634
applyCleanSuggestions,desktop/src/lib/api.ts,641
getSegments,desktop/src/lib/api.ts,657
updateSegment,desktop/src/lib/api.ts,661
bulkUpdateSegments,desktop/src/lib/api.ts,678
getEditPlan,desktop/src/lib/api.ts,692
getSemanticRenderPlan,desktop/src/lib/api.ts,696
regenerateSemanticRenderPlan,desktop/src/lib/api.ts,700
updateCaptionPolicy,desktop/src/lib/api.ts,704
updateLayoutCues,desktop/src/lib/api.ts,711
updateSlideCues,desktop/src/lib/api.ts,718
updateEditorialBlocks,desktop/src/lib/api.ts,725
autoGenerateLayoutCues,desktop/src/lib/api.ts,732
updateAnnotations,desktop/src/lib/api.ts,739
updateEducationalOverlays,desktop/src/lib/api.ts,746
updateEndCards,desktop/src/lib/api.ts,756
getExportPresets,desktop/src/lib/api.ts,766
approvePlan,desktop/src/lib/api.ts,770
cancelRender,desktop/src/lib/api.ts,784
revalidatePlan,desktop/src/lib/api.ts,788
getChapters,desktop/src/lib/api.ts,792
getQualityReport,desktop/src/lib/api.ts,800
getModeComparisonReport,desktop/src/lib/api.ts,804
uploadMaterial,desktop/src/lib/api.ts,812
listMaterials,desktop/src/lib/api.ts,825
deleteMaterial,desktop/src/lib/api.ts,829
getSettings,desktop/src/lib/api.ts,837
getAISettings,desktop/src/lib/api.ts,841
updateAISettings,desktop/src/lib/api.ts,845
updateDomainTerms,desktop/src/lib/api.ts,852
getLocalTranscriptionModels,desktop/src/lib/api.ts,858
downloadLocalTranscriptionModel,desktop/src/lib/api.ts,862
getLocalTranscriptionModelDownload,desktop/src/lib/api.ts,872
removeLocalTranscriptionModel,desktop/src/lib/api.ts,878
exportSectionClips,desktop/src/lib/api.ts,906
