name,path,line
isNativeDesktop,desktop/src/App.tsx,44
bootstrapDesktopBackend,desktop/src/App.tsx,48
setBaseUrl,desktop/src/App.tsx,49
setBaseUrl,desktop/src/App.tsx,58
getVideo,desktop/src/App.tsx,73
getProject,desktop/src/App.tsx,75
bootstrapDesktopBackend,desktop/src/App.tsx,178
setBaseUrl,desktop/src/App.tsx,179
autoGenerateLayoutCues,desktop/src/components/GuidedWorkflow.tsx,506
updateEditorialBlocks,desktop/src/components/GuidedWorkflow.tsx,546
updateLayoutCues,desktop/src/components/GuidedWorkflow.tsx,560
exportSectionClips,desktop/src/components/GuidedWorkflow.tsx,578
getExportPresets,desktop/src/components/GuidedWorkflow.tsx,599
analyzeCleanSuggestions,desktop/src/components/GuidedWorkflow.tsx,644
applyCleanSuggestions,desktop/src/components/GuidedWorkflow.tsx,658
updateCaptionPolicy,desktop/src/components/GuidedWorkflow.tsx,682
updateAnnotations,desktop/src/components/GuidedWorkflow.tsx,728
updateEducationalOverlays,desktop/src/components/GuidedWorkflow.tsx,779
updateEndCards,desktop/src/components/GuidedWorkflow.tsx,811
getVideoDownloadUrl,desktop/src/components/GuidedWorkflow.tsx,2071
getSubtitleDownloadUrl,desktop/src/components/GuidedWorkflow.tsx,2075
getSubtitleVttUrl,desktop/src/components/GuidedWorkflow.tsx,2076
getChaptersDownloadUrl,desktop/src/components/GuidedWorkflow.tsx,2077
getPlanExportUrl,desktop/src/components/GuidedWorkflow.tsx,2078
getQualityReportExportUrl,desktop/src/components/GuidedWorkflow.tsx,2079
getAcademicEvidenceExportUrl,desktop/src/components/GuidedWorkflow.tsx,2080
getAcademicEvidenceSummaryUrl,desktop/src/components/GuidedWorkflow.tsx,2081
getBeforeAfterComparisonUrl,desktop/src/components/GuidedWorkflow.tsx,2082
getTimelineDecisionsUrl,desktop/src/components/GuidedWorkflow.tsx,2083
getProviderModeTraceUrl,desktop/src/components/GuidedWorkflow.tsx,2084
getMetricsSummaryUrl,desktop/src/components/GuidedWorkflow.tsx,2085
getAcademicEvidenceBundleUrl,desktop/src/components/GuidedWorkflow.tsx,2086
getSectionClipsManifestUrl,desktop/src/components/GuidedWorkflow.tsx,2100
getAISettings,desktop/src/components/MainSettingsPanel.tsx,299
getLocalTranscriptionModels,desktop/src/components/MainSettingsPanel.tsx,300
getExportPresets,desktop/src/components/MainSettingsPanel.tsx,301
getLocalTranscriptionModels,desktop/src/components/MainSettingsPanel.tsx,322
downloadLocalTranscriptionModel,desktop/src/components/MainSettingsPanel.tsx,366
removeLocalTranscriptionModel,desktop/src/components/MainSettingsPanel.tsx,384
updateAISettings,desktop/src/components/MainSettingsPanel.tsx,423
updateAISettings,desktop/src/components/MainSettingsPanel.tsx,442
updateAISettings,desktop/src/components/MainSettingsPanel.tsx,491
listProjects,desktop/src/components/ProjectDashboard.tsx,81
listVideos,desktop/src/components/ProjectDashboard.tsx,82
createProject,desktop/src/components/ProjectDashboard.tsx,135
updateProject,desktop/src/components/ProjectDashboard.tsx,185
deleteProject,desktop/src/components/ProjectDashboard.tsx,201
getEditPlan,desktop/src/components/ReviewEditor.tsx,162
regenerateSemanticRenderPlan,desktop/src/components/ReviewEditor.tsx,167
getVideo,desktop/src/components/ReviewEditor.tsx,180
listProjectAssets,desktop/src/components/ReviewEditor.tsx,188
getChapters,desktop/src/components/ReviewEditor.tsx,233
getTranscriptTimeline,desktop/src/components/ReviewEditor.tsx,250
getTranscriptCutDecisions,desktop/src/components/ReviewEditor.tsx,251
getEditDecisionSync,desktop/src/components/ReviewEditor.tsx,252
getVideoStreamUrl,desktop/src/components/ReviewEditor.tsx,279
revalidatePlan,desktop/src/components/ReviewEditor.tsx,372
getEditPlan,desktop/src/components/ReviewEditor.tsx,381
getEditDecisionSync,desktop/src/components/ReviewEditor.tsx,396
createTranscriptCutDecision,desktop/src/components/ReviewEditor.tsx,460
deleteTranscriptCutDecision,desktop/src/components/ReviewEditor.tsx,481
restoreTranscriptCutWord,desktop/src/components/ReviewEditor.tsx,507
updateTranscriptCutTrim,desktop/src/components/ReviewEditor.tsx,539
approvePlan,desktop/src/components/ReviewEditor.tsx,641
getEditPlan,desktop/src/components/ReviewEditor.tsx,643
getProcessingStatus,desktop/src/components/ReviewEditor.tsx,649
getEditPlan,desktop/src/components/ReviewEditor.tsx,650
cancelRender,desktop/src/components/ReviewEditor.tsx,673
deleteTranscriptCutDecision,desktop/src/components/ReviewEditor.tsx,719
createTranscriptCutDecision,desktop/src/components/ReviewEditor.tsx,726
updateTranscriptCutTrim,desktop/src/components/ReviewEditor.tsx,735
createTranscriptCutDecision,desktop/src/components/ReviewEditor.tsx,743
deleteTranscriptCutDecision,desktop/src/components/ReviewEditor.tsx,750
getChapters,desktop/src/components/StatsPanel.tsx,20
getVideoDownloadUrl,desktop/src/components/StatsPanel.tsx,120
getSubtitleDownloadUrl,desktop/src/components/StatsPanel.tsx,124
getSubtitleVttUrl,desktop/src/components/StatsPanel.tsx,128
getChaptersDownloadUrl,desktop/src/components/StatsPanel.tsx,132
getPlanExportUrl,desktop/src/components/StatsPanel.tsx,136
getQualityReportExportUrl,desktop/src/components/StatsPanel.tsx,140
getModeComparisonSummaryUrl,desktop/src/components/StatsPanel.tsx,144
getBeforeAfterComparisonUrl,desktop/src/components/StatsPanel.tsx,148
getTimelineDecisionsUrl,desktop/src/components/StatsPanel.tsx,152
getProviderModeTraceUrl,desktop/src/components/StatsPanel.tsx,156
getMetricsSummaryUrl,desktop/src/components/StatsPanel.tsx,160
getAcademicEvidenceBundleUrl,desktop/src/components/StatsPanel.tsx,164
getAISettings,desktop/src/components/TranscriptionSettingsPanel.tsx,113
getLocalTranscriptionModels,desktop/src/components/TranscriptionSettingsPanel.tsx,114
getLocalTranscriptionModels,desktop/src/components/TranscriptionSettingsPanel.tsx,131
downloadLocalTranscriptionModel,desktop/src/components/TranscriptionSettingsPanel.tsx,157
removeLocalTranscriptionModel,desktop/src/components/TranscriptionSettingsPanel.tsx,175
updateAISettings,desktop/src/components/TranscriptionSettingsPanel.tsx,196
listMaterials,desktop/src/components/UploadPanel.tsx,145
