test_file,exit_code,elapsed_seconds
test_clean_tools.py,1,0.53
test_demo_script_document.py,0,0.5
test_edit_plan_payload.py,0,0.42
test_editorial_plan.py,0,0.5
test_evaluation_metrics.py,0,0.6
test_export_artifacts.py,1,1.18
test_export_presets.py,0,0.38
test_layout_data_model.py,0,0.5
test_layout_planner.py,0,0.51
test_lecture_structure.py,0,0.49
test_mode_comparison.py,0,0.38
test_native_imports.py,1,1.46
test_native_semantic_compositor.py,1,0.83
test_picture_in_picture_renderer.py,1,0.76
test_progress.py,0,0.76
test_project_model.py,1,0.37
test_provider_foundation.py,0,1.5
test_render_jobs.py,1,1.14
test_semantic_render_plan.py,1,0.67
test_synthetic_media_fixtures.py,1,1.36
test_topic_segmentation.py,0,0.49
test_transcript_edit_decisions.py,0,0.71
test_transcript_timeline.py,0,0.54
test_visual_structure.py,1,0.73
